id,name,type,website,description,location_city,location_country,location_greater_stockholm,logo_url,owner,maturity,accepts_interns,is_swedish,source,metadata_source_url,data_quality_score,last_updated,has_scb_enrichment,organization_number,scb_company_name,co_address,post_address,post_code,post_city,municipality_code,municipality,county_code,county,num_workplaces,employee_size_code,employee_size,company_status_code,company_status,legal_form_code,legal_form,start_date,registration_date,industry_1_code,industry_1,industry_2_code,industry_2,revenue_year,revenue_size_code,revenue_size,phone,email,employer_status_code,employer_status,vat_status_code,vat_status,export_import,sectors,domains,ai_capabilities,dimensions
1,AI Sweden,ngo,https://ai.se,"AI Sweden is the Swedish national center for applied artificial intelligence Our mission is to accelerate the use of AI for the benefit of our society, our competitiveness, and for everyone living in Sweden. We are broadly funded and not for profit, and we collaborate with speed and boldness in everything we do with our over 170 partners from the private and public sectors, as well as academia. Who we are AI Sweden’s partner network boasts more than 170 partners from across all sectors. And the AI Sweden core team consists of over 80 people - everything from leading AI experts, data scientists, research engineers, linguists and mathematicians to policy experts, lawyers, journalists and change leaders. How we work We act as a catalyst for organizations and partners that have the ambition to generate sustainable value using AI. We work not-for-profit, collaborate in everything we do and lead the way with speed and boldness. Why we do it Few Swedish organizations are big enough to drive AI adoption on their own. We need collaboration in all sectors to build the required competence, tools, and resources, make bold decisions and share the results. Instead of reinventing the wheel, we run even faster together.",KISTA,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/1283/ai_sweden_logo_on_blue.png,,,,1,my.ai.se,,75,2025-10-15 16:50:01,1,5591305098,6G AI SWEDEN AB,,FINLANDSGATAN 34,164 74,KISTA,0180,Stockholm,,,1,1,0 anställda,1,Är verksam,49,Övriga aktiebolag,2020-10-05,2017-10-31,62010,Dataprogrammering,,,2024,0,< 1 tkr,,info@6gaisweden.com,0,Har aldrig varit registrerad som arbetsgivare,1,Är registrerad för moms,N,,,,"Usecases & Inspiration, Ecosystem & Partners, Competence & Expertise, Technology, Data"
1119,CGI Sverige AB,supplier,https://cgi.se,"CGI grundades 1976 och är ett av världens största konsultföretag inom IT- och affärsverksamhet. Vi drivs av insikter och är fokuserade på att hjälpa företag och organisationer att öka avkastningen på sina investeringar. Vi arbetar inom 21 branscher och från över 400 platser runt om i världen, där vi levererar kompletta, skalbara och hållbara IT- och affärstjänster som utformas globalt och levereras lokalt. CGI - Insights you can act on.",STOCKHOLM,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/41/tct4NLKJ8sNaWqHtD6JmJtCxBezp1vb2goWqA5HN.png,,,,1,my.ai.se,,70,2025-10-15 16:50:01,1,5563372191,CGI Sverige AB,,BOX 3577,103 69,STOCKHOLM,0180,Stockholm,,,28,13,3000-3999 anställda,1,Är verksam,49,Övriga aktiebolag,2001-10-31,1988-11-18,62020,Datakonsultverksamhet,62010,Dataprogrammering,2024,11,5 000 000 - 9 999 999 tkr,086702000,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J,Information Technology,,,"Execution, Technology, Vision & Strategy, Data"
1120,NVIDIA,corporation,,,Utlandet,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/42/49ululIjkbe2GEN7qTCU7XAwPrCMBrlp9mllZCgK.jpg,,,,1,my.ai.se,,30,2025-10-15 16:50:01,0,,,,,00000,Utlandet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Technology, Data"
1121,Linköpings Universitet,academia,,,LINKÖPING,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/43/5oVslWDWCdyH6otpTMTjRzmRnN6yx4h9g50meHaq.png,,,,1,my.ai.se,,35,2025-10-15 16:50:01,0,,,,,58183,LINKÖPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Research, Education",,,
1122,Skatteverket,publicsector,,"Det här gör Skatteverket Vi säkerställer finansieringen av den offentliga sektorn och bidrar till ett väl fungerande samhälle genom att motverka brottslighet. Skatteverkets huvuduppgifter är att ta in skatter, sköta folkbokföring, äktenskapsregistret och fastighetstaxering, registrera bouppteckningar och vara borgenär åt staten. Vi utfärdar id-kort för personer som är folkbokförda i Sverige. Vi utreder också skattebrott. Det ska vara lätt att göra rätt Skatteverket bidrar med förutsättningar i vardagen för dig som privatperson och företagare. Det ska vara enkelt att följa regler och förutsägbart vad som gäller. Du ska kunna vara trygg i att det blir rätt både för din egen del och att andra bidrar med det som de ska. Lika möjligheter och villkor Alla privatpersoner och företagare ska ha samma möjligheter och villkor när de kontaktar oss oavsett kön och ålder, könsöverskridande identitet eller uttryck; etnisk tillhörighet, religion eller annan trosuppfattning; funktionsuppsättning eller sexuell läggning. Det svenska samhället bygger på att alla som arbetar ska betala skatt. Skatten är olika i varje kommun och varierar beroende på hur mycket du tjänar. Skatten används till bland annat sjukvård, vägar och äldreomsorg.",MALMÖ,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/21136/SKV_RGB_st.png,,,,1,my.ai.se,,65,2025-10-15 16:50:01,0,,,,,20530,MALMÖ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Authority & Agency,,,
1123,Peltarion,corporation,https://peltarion.com,"Fast, actionable AI From dataset handling to model deployment, the Peltarion platform offers a fast, all-in-one operational tool. Create, train and deploy deep learning models without the need to write a single line of code",STOCKHOLM,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/45/cLVai2A5qvx9y4BIDZJ9hV4F8migKQKIBXLzGAxo.png,,,,1,my.ai.se,,75,2025-10-15 16:50:01,1,5566270129,Peltarion AB,,MALMSKILLNADSGATAN 19,111 57,STOCKHOLM,0180,Stockholm,,,1,1,0 anställda,1,Är verksam,49,Övriga aktiebolag,2002-08-20,2002-06-04,62010,Dataprogrammering,,,2024,0,< 1 tkr,,luka@peltarion.com,9,Är avregistrerad som arbetsgivare,1,Är registrerad för moms,N,Information Technology,Traffic & Infrastructure,,"Technology, Data"
1124,Google,corporation,https://about.google,,STOCKHOLM,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/46/6Zo9sbtiPExC4tAUtQvBkaKb0gdxbQkABN5cRYOE.png,,,,1,my.ai.se,,50,2025-10-15 16:50:01,1,5566566880,GOOGLE SWEDEN AB,,KUNGSBRON 2,111 22,STOCKHOLM,0180,Stockholm,,,1,8,200-499 anställda,1,Är verksam,49,Övriga aktiebolag,2004-08-14,2004-03-09,63110,"Databehandling, hosting o.d.",62010,Dataprogrammering,2024,10,1 000 000 - 4 999 999 tkr,0850516600,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J,Information Technology,,,
1125,Google Digitalakademin,corporation,https://learndigital.withgoogle.com/digitalakademin,,,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/47/4nspCB3DEvqrR9Y8zZi5jhY72SddFpoN9pKfA7bS.png,Google,,,1,my.ai.se,,50,2025-10-15 16:50:01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Competence & Expertise
1126,National Space Data Lab,lab,,,,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/48/k4NOBazI8CU45WCtIoPys1rYdnDZn5gnKxicjeHu.jpg,AI Sweden,,,1,my.ai.se,,40,2025-10-15 16:50:01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Space,,,
1128,Modulai,supplier,https://modulai.io,"The machine learning agency Implementing value-creating AI where possible, for an elevated experience at work, in life, and for organizations Somewhere beyond code and machine, there is a team Artificial intelligence on its own is an echo from the future that holds promises of improvement within nearly every industry and for the general public. As machine learning engineers at Modulai, this means we view our company not only as of the joy of our intellectual stimulation but as the mark we want to leave on this world. Our achievements so far show that by implementing AI in a variety of sectors we can live up to the promise of betterment for people, companies, and employees. This then becomes our purpose, to educate around machine learning and to implement it where we can generate actual value, financially and for the well-being of people. We’re thought leaders, researchers, and entrepreneurs, but most importantly, we’re developers, deploying state-of-the-art AI in production. We’re pedagogic nerds, meaning we never let our competence get the better of collaboration. On the contrary, our definition of success is when both parties have learned from the project. Our ambitionBy listening closely to our client’s needs we strive to implement solutions that solve their issues and have a long-term positive impact on their customers and their economy. We want to be the partner of choice in producing advanced bespoke AI systems, design- and implementation-wise",STOCKHOLM,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/50/Hh20TSXth2kNNlZ83jtSASZ8WVHDnYeRcD1TcMBI.png,,,,1,my.ai.se,,80,2025-10-15 16:50:01,1,5591524029,Modulai AB,,LÅNGHOLMSGATAN 27,117 33,STOCKHOLM,0180,Stockholm,,,1,5,20-49 anställda,1,Är verksam,49,Övriga aktiebolag,2018-04-10,2018-03-20,62020,Datakonsultverksamhet,62010,Dataprogrammering,2024,6,20 000 - 49 999 tkr,,info@modulai.io,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N,Information Technology,,,"Execution, Technology, Data"
