id,name,type,website,description,location_city,location_country,location_greater_stockholm,logo_url,owner,maturity,accepts_interns,is_swedish,source,metadata_source_url,data_quality_score,last_updated,organization_number,scb_company_name,co_address,post_address,post_code,post_city,municipality_code,municipality,county_code,county,num_workplaces,employee_size_code,employee_size,company_status_code,company_status,legal_form_code,legal_form,start_date,registration_date,industry_1_code,industry_1,industry_2_code,industry_2,revenue_year,revenue_size_code,revenue_size,phone,email,employer_status_code,employer_status,vat_status_code,vat_status,export_import,sectors,domains,ai_capabilities,dimensions
1119,CGI Sverige AB,supplier,https://cgi.se,"CGI grundades 1976 och är ett av världens största konsultföretag inom IT- och affärsverksamhet. Vi drivs av insikter och är fokuserade på att hjälpa företag och organisationer att öka avkastningen på sina investeringar. Vi arbetar inom 21 branscher och från över 400 platser runt om i världen, där vi levererar kompletta, skalbara och hållbara IT- och affärstjänster som utformas globalt och levereras lokalt. CGI - Insights you can act on.",STOCKHOLM,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/41/tct4NLKJ8sNaWqHtD6JmJtCxBezp1vb2goWqA5HN.png,,,,1,my.ai.se,,70,2025-10-15 16:50:01,5563372191,CGI Sverige AB,,BOX 3577,103 69,STOCKHOLM,0180,Stockholm,,,28,13,3000-3999 anställda,1,Är verksam,49,Övriga aktiebolag,2001-10-31,1988-11-18,62020,Datakonsultverksamhet,62010,Dataprogrammering,2024,11,5 000 000 - 9 999 999 tkr,086702000,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J,Information Technology,,,"Execution, Technology, Vision & Strategy, Data"
1122,Skatteverket,publicsector,skatteverket.se,"Det här gör Skatteverket Vi säkerställer finansieringen av den offentliga sektorn och bidrar till ett väl fungerande samhälle genom att motverka brottslighet. Skatteverkets huvuduppgifter är att ta in skatter, sköta folkbokföring, äktenskapsregistret och fastighetstaxering, registrera bouppteckningar och vara borgenär åt staten. Vi utfärdar id-kort för personer som är folkbokförda i Sverige. Vi utreder också skattebrott. Det ska vara lätt att göra rätt Skatteverket bidrar med förutsättningar i vardagen för dig som privatperson och företagare. Det ska vara enkelt att följa regler och förutsägbart vad som gäller. Du ska kunna vara trygg i att det blir rätt både för din egen del och att andra bidrar med det som de ska. Lika möjligheter och villkor Alla privatpersoner och företagare ska ha samma möjligheter och villkor när de kontaktar oss oavsett kön och ålder, könsöverskridande identitet eller uttryck; etnisk tillhörighet, religion eller annan trosuppfattning; funktionsuppsättning eller sexuell läggning. Det svenska samhället bygger på att alla som arbetar ska betala skatt. Skatten är olika i varje kommun och varierar beroende på hur mycket du tjänar. Skatten används till bland annat sjukvård, vägar och äldreomsorg.",MALMÖ,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/21136/SKV_RGB_st.png,,,,1,my.ai.se,,65,2025-11-11 22:27:30,,,,,20530,MALMÖ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Authority & Agency,,,
1123,Peltarion,corporation,https://peltarion.com,"Fast, actionable AI From dataset handling to model deployment, the Peltarion platform offers a fast, all-in-one operational tool. Create, train and deploy deep learning models without the need to write a single line of code",STOCKHOLM,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/45/cLVai2A5qvx9y4BIDZJ9hV4F8migKQKIBXLzGAxo.png,,,,1,my.ai.se,,75,2025-10-15 16:50:01,5566270129,Peltarion AB,,MALMSKILLNADSGATAN 19,111 57,STOCKHOLM,0180,Stockholm,,,1,1,0 anställda,1,Är verksam,49,Övriga aktiebolag,2002-08-20,2002-06-04,62010,Dataprogrammering,,,2024,0,< 1 tkr,,luka@peltarion.com,9,Är avregistrerad som arbetsgivare,1,Är registrerad för moms,N,Information Technology,Traffic & Infrastructure,,"Technology, Data"
1128,Modulai,supplier,https://modulai.io,"The machine learning agency Implementing value-creating AI where possible, for an elevated experience at work, in life, and for organizations Somewhere beyond code and machine, there is a team Artificial intelligence on its own is an echo from the future that holds promises of improvement within nearly every industry and for the general public. As machine learning engineers at Modulai, this means we view our company not only as of the joy of our intellectual stimulation but as the mark we want to leave on this world. Our achievements so far show that by implementing AI in a variety of sectors we can live up to the promise of betterment for people, companies, and employees. This then becomes our purpose, to educate around machine learning and to implement it where we can generate actual value, financially and for the well-being of people. We’re thought leaders, researchers, and entrepreneurs, but most importantly, we’re developers, deploying state-of-the-art AI in production. We’re pedagogic nerds, meaning we never let our competence get the better of collaboration. On the contrary, our definition of success is when both parties have learned from the project. Our ambitionBy listening closely to our client’s needs we strive to implement solutions that solve their issues and have a long-term positive impact on their customers and their economy. We want to be the partner of choice in producing advanced bespoke AI systems, design- and implementation-wise",STOCKHOLM,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/50/Hh20TSXth2kNNlZ83jtSASZ8WVHDnYeRcD1TcMBI.png,,,,1,my.ai.se,,80,2025-10-15 16:50:01,5591524029,Modulai AB,,LÅNGHOLMSGATAN 27,117 33,STOCKHOLM,0180,Stockholm,,,1,5,20-49 anställda,1,Är verksam,49,Övriga aktiebolag,2018-04-10,2018-03-20,62020,Datakonsultverksamhet,62010,Dataprogrammering,2024,6,20 000 - 49 999 tkr,,info@modulai.io,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N,Information Technology,,,"Execution, Technology, Data"
1129,Tenfifty,supplier,https://tenfifty.io,"Din oöverträffliga AI-partner. Tenfifty är din mycket erfarna data science-leverantör, när du behöver optimera eller automatisera din verksamhet. Vi har under mer än två decennier levererat skräddarsydda tjänster baserat på AI, data science och crawling. Dessa lösningar bygger vi baserat på text på olika språk, tal, bilder eller bara numerisk data.",GÖTEBORG,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/51/53g6da1L4MROWhr9sRZCCnMce5lTMvO2OswDVrTS.png,,,,1,my.ai.se,,70,2025-10-15 16:50:01,5569761793,Tenfifty AB,,KRONHUSGATAN 7,411 05,GÖTEBORG,1480,Göteborg,,,1,5,20-49 anställda,1,Är verksam,49,Övriga aktiebolag,2014-09-16,2014-07-08,62020,Datakonsultverksamhet,62010,Dataprogrammering,2024,6,20 000 - 49 999 tkr,0761919291,anders.bjurstrom@tenfifty.io,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N,Information Technology,,,"Execution, Technology, Data"
1133,Skogsstyrelsen,publicsector,https://skogsstyrelsen.se,The Swedish Forest Agency is the national authority in charge of forest-related issues. Our main function is to promote the kind of management of Sweden's forests that enables the objectives of forest policy to be attained.,JÖNKÖPING,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/10/Skogsstyrelsen_logo_2rad.png,,,,1,my.ai.se,,70,2025-10-15 16:50:01,,,,,55183,JÖNKÖPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,Authority & Agency,,,
1134,Smartr,supplier,https://smartr.se/,"Smartr is an agency specialized in Machine learning and advanced analytics. We create solutions that are sustainable, both for humans and for the planet.",GÖTEBORG,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/116/smartr.png,,,,1,my.ai.se,,65,2025-10-15 16:50:01,5591694277,Smarter AI Sweden AB,,VALLGATAN 3,411 16,GÖTEBORG,1480,Göteborg,,,1,4,10-19 anställda,1,Är verksam,49,Övriga aktiebolag,2018-09-11,2018-09-04,62020,Datakonsultverksamhet,70220,Konsultverksamhet avseende företags organisation,2024,5,10 000 - 19 999 tkr,,jonas.sallander@smartr.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N,Information Technology,"Research & Development, Sustainability / Ethics / CSR, IT & Software",,"Technology, Vision & Strategy, Data"
1135,Viking Analytics,startup,https://vikinganalytics.se,"Viking Analytics enables companies and their domain specialists with AI-based predictive maintenance applications for various industrial assets. Our analytics software, MultiViz Vibration, allows industrial specialists to extract insights and value from vibration data.",LYSEKIL,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/189/VA_Logotype_noslogan_vertical_White_on_blue.png,,,,1,my.ai.se,,75,2025-10-15 16:50:01,5569071912,Viking Analytics AB,,LILLA KYRKOGATAN 22,453 30,LYSEKIL,1484,Lysekil,,,1,3,5-9 anställda,1,Är verksam,49,Övriga aktiebolag,2017-05-30,2012-10-23,63110,"Databehandling, hosting o.d.",,,2024,3,1 000 - 4 999 tkr,,stefan.lagerkvist@vikinganalytics.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N,Manufacturing,"Operations, Production",,"Usecases & Inspiration, Ecosystem & Partners, Execution, Competence & Expertise, Culture & Mindset, Organization, Technology, Vision & Strategy, Data"
1138,Codon,supplier,https://codon.se/,"Codon focuses on delivering machine learning and data science solutions to real business problems. Some of the applications we are working on currently are plant yield forecasting, individualized cancer therapy, transformer-based search and social media auto-moderation, but the list is ever-changing!",STOCKHOLM,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/342/Codon-Consulting_logo.png,,,,1,my.ai.se,,75,2025-10-15 16:50:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Retail, Financial, Healthcare & Life Sciences, Information Technology, Municipality, Food & Farming, Telecommunications, Manufacturing","Research & Development, IT & Software, Operations",,"Usecases & Inspiration, Competence & Expertise, Culture & Mindset, Technology, Vision & Strategy, Data"
1142,Unbiased,startup,https://unbiased.cc/,"Unbiased är en prisbelönt svensk tech-startup som bekämpar etiska utmaningar inom AI och BigData med hjälp av blockchain-teknologi. Deras Data Marketplace-plattform är en B2B-lösning som tillhandahåller integritetsskyddade och decentraliserade AI-utvecklingsverktyg för företag. Unbiased erbjuder också transparent datainsamling, annotering och analys med blockchain-certifikat för att bidra till innovation och ett bättre samhälle.",GÖTEBORG,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/478/Unbiased---Horizantal.jpg,,,,1,my.ai.se,,50,2025-11-12 08:59:46,5591758023,Unbiased AB,SUKESH KUMAR TEDLA,FRIDA HJERTBERGS GATA 12  A2-1101,412 81,GÖTEBORG,1480,Göteborg,,,1,1,0 anställda,1,Är verksam,49,Övriga aktiebolag,2018-11-13,2018-10-23,63110,"Databehandling, hosting o.d.",62020,Datakonsultverksamhet,2024,1,1 - 499 tkr,,sukeshtedla@unbaised.cc,0,Har aldrig varit registrerad som arbetsgivare,1,Är registrerad för moms,N,"Retail, Automotive, Information Technology, Manufacturing",,,"Usecases & Inspiration, Technology, Vision & Strategy, Data"
